fight_id,event_date,category,fighter_a_name,fighter_b_name,age_a,age_b,age_diff,stance_a,stance_b,height_diff,reach_diff,win_pct_diff,ko_rate_diff,sub_rate_diff,dec_rate_diff,ko_loss_rate_diff,sub_loss_rate_diff,sig_str_landed_per_min_diff,sig_str_absorbed_per_min_diff,sig_str_accuracy_diff,td_avg_per_15min_diff,td_accuracy_diff,td_defense_diff,sub_att_per_15min_diff,ctrl_time_pct_diff,days_since_last_fight_diff,win_streak_diff,losing_streak_diff,total_fights_diff,elo_diff,recent_3_wins_diff,recent_3_losses_diff,recent_5_wins_diff,recent_5_losses_diff,recent_3_ko_loss_rate_diff,recent_5_ko_loss_rate_diff,decay_sig_per_min_diff,decay_sig_absorbed_per_min_diff,decay_td_per_15min_diff,avg_opp_elo_diff,avg_opp_elo_wins_diff,winner
fight_00050,2002-03-22,Heavyweight,Pedro Rizzo,Andrei Arlovski,27.0,23.0,4.0,Orthodox,Orthodox,-5.0,,0.3333333333333333,,,,-0.5,0.0,-0.018673160842980874,0.6773442566341838,0.07045215562565721,-6.429495391303409,0.09833333333333338,-0.21428571428571436,0.0,-0.013177159590043924,-126.0,0,1,2,1.7763490498537067,1,1,1,1,-0.6666666666666667,-0.6666666666666667,0.18458788900190026,0.8514789990509459,0.37998333162299663,18.196524540277323,,1
fight_00051,2002-03-22,Welterweight,Matt Hughes,Hayato Sakurai,28.0,26.0,2.0,Switch,Orthodox,5.0,,,,,,,,,,0.0966864490603363,,0.09833333333333338,0.0,,,,1,0,1,54.5895736208322,1,0,1,0,,,,,,,,1
fight_00052,2002-03-22,Middleweight,Matt Lindland,Pat Miletich,31.0,34.0,-3.0,Southpaw,Orthodox,5.0,,0.0,-1.0,0.0,1.0,,,0.29454321344471357,-0.10158523644262996,0.2937534768972774,-0.821387563725894,-0.0766550522648084,0.01200154858691449,0.0,0.08052630220432605,-126.0,0,0,0,41.654213455809895,0,-1,0,-1,0.0,0.0,0.44562093181335627,-0.05227011180319918,0.25350715462167006,0.0,0.0,1
fight_00053,2002-03-22,Light Heavyweight,Evan Tanner,Elvis Sinosic,31.0,31.0,0.0,Orthodox,Orthodox,-7.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16420714607572584,-2.263572348822195,0.1857239183367671,-0.03865282275111248,0.0,0.020481310803891428,2.2892441860465116,0.002583979328165375,-126.0,1,-1,0,6.589573620832198,0,0,0,0,0.0,0.0,-0.31101932530989546,-5.0295068488182455,0.0,-24.0,0.0,1
fight_00054,2002-03-22,Heavyweight,Pete Williams,Frank Mir,26.0,22.0,4.0,Orthodox,Southpaw,0.0,,-1.0,,,,,,-0.6624155352636223,0.022884230044677212,0.1736926467641755,-11.268787860792791,0.0679723502304147,-0.19032258064516128,-12.878411910669975,-0.24954507857733665,0.0,-1,2,1,-131.0646398349777,-1,2,-1,2,1.0,1.0,-2.4212575177269096,0.16677123642342484,0.8307590588830223,24.0,,2
fight_00055,2002-03-22,Lightweight,Kelly Dullanty,Matt Serra,24.0,27.0,-3.0,Orthodox,Orthodox,5.0,,,,,,,,,,0.0668527564549895,,0.11120000000000002,-0.0754285714285714,,,,-1,0,-2,-6.589573620832198,-1,-1,-1,-1,,,,,,,,2
fight_00056,2002-03-22,Welterweight,Jutaro Nakao,Sean Sherk,31.0,28.0,3.0,Southpaw,Orthodox,7.0,,0.0,1.0,-1.0,0.0,,,-0.009614172207183747,0.17683699576508916,-0.0460928634472324,1.4681210762858683,-0.15347222222222223,0.0,0.0,0.2881533760579757,-217.0,0,0,0,12.974527873671377,0,0,0,0,0.0,0.0,-0.14407398393769777,0.08826153970958057,-3.0664395229982966,89.4104263791678,89.4104263791678,2
fight_00057,2002-05-10,Middleweight,Murilo Bustamante,Matt Lindland,35.0,31.0,4.0,Orthodox,Southpaw,5.0,,-0.16666666666666663,0.5,0.0,-0.5,,,-1.0922256994887372,0.4451637037155808,-0.14348410352463736,3.371388922602874,-0.23928170594837256,-0.10222222222222221,0.0,-0.16152939236540526,70.0,-1,0,-1,-78.1858158489656,-1,1,-1,1,0.0,0.0,-1.5164697244117074,0.49677166796767225,1.4944430513300142,27.688213278325975,17.53231991748885,1
fight_00058,2002-05-10,Heavyweight,Tsuyoshi Kohsaka,Ricco Rodriguez,32.0,24.0,8.0,Orthodox,Orthodox,-13.0,,,,,,,,,,-0.09496700436843575,,-0.05980215827338131,-0.0011990407673860837,,,,-3,0,-3,-119.80259778465097,-3,0,-3,0,,,,,,,,2
fight_00059,2002-05-10,Lightweight,BJ Penn,Paul Creighton,23.0,31.0,-8.0,Orthodox,Southpaw,7.0,,,,,,,,,,0.16419505678022717,,0.11971830985915488,-0.09577464788732398,,,,0,1,4,73.83767744871648,2,1,3,1,,,,,,,,1
